"Disable Sales","Deshabilitar Ventas"
"General Settings","Configuración General"
"Enable","Habilitar"
"When enabled, sales will be temporarily disabled.","Cuando está habilitado, las ventas se deshabilitarán temporalmente."
"Message","Mensaje"
"Message displayed to customers when sales are disabled. HTML is supported in the banner and modal. Checkout/cart error messages will show plain text only.","Mensaje que se muestra a los clientes cuando las ventas están deshabilitadas. Se soporta HTML en el banner y el modal. Los mensajes de error en checkout/carrito se muestran como texto plano."
"Also Disable Checkout","Deshabilitar también el Checkout"
"Block checkout access as an additional safety net.","Bloquear el acceso al checkout como red de seguridad adicional."
"Top Banner","Banner Superior"
"Show Top Banner","Mostrar Banner Superior"
"Display a dismissible banner at the top of the page.","Mostrar un banner descartable en la parte superior de la página."
"Background Color","Color de Fondo"
"Text Color","Color de Texto"
"Banner Message Custom CSS","CSS Personalizado del Banner"
"Inline CSS applied to the banner message text. Modify the defaults as needed.","CSS inline aplicado al texto del mensaje del banner. Modificá los valores por defecto según necesites."
"Modal Popup","Popup Modal"
"Show Modal","Mostrar Modal"
"Display a modal popup once per session.","Mostrar un popup modal una vez por sesión."
"Modal Message Custom CSS","CSS Personalizado del Modal"
"Inline CSS applied to the modal message text. Modify the defaults as needed.","CSS inline aplicado al texto del mensaje del modal. Modificá los valores por defecto según necesites."
"Restrict to Customer Groups","Restringir a Grupos de Clientes"
"Select which customer groups will have sales disabled. Leave empty to apply to ALL customers.","Seleccioná qué grupos de clientes tendrán las ventas deshabilitadas. Dejá vacío para aplicar a TODOS los clientes."
"Show Only After Login","Mostrar Solo Después de Iniciar Sesión"
"When enabled, the banner is only shown to logged-in customers. Guests will not see it.","Cuando está habilitado, el banner solo se muestra a clientes logueados. Los visitantes no lo verán."
"When enabled, the modal is only shown to logged-in customers. Guests will not see it.","Cuando está habilitado, el modal solo se muestra a clientes logueados. Los visitantes no lo verán."
"Rollpix Disable Sales","Rollpix Deshabilitar Ventas"
"Close","Cerrar"
"Entendido","Entendido"
